WWR-EW,WWR-NS,ShadeType,SHGC,VLT,U-value,ExWall,Ventilation,EUI (kWh/m2),ELECp (W/m2),Daylight Autonomy,Excessive Daylight,EUI Saved(-)Wasted(+),REF_ELECp,REF_DA,REF_ExcDA,OT26% - L5-Student-Com-NE,OT26% - L5-Studio-SW,OT26% - L5-Studio-SE,OT26% - L5-Studio-NW,img
35,45,2,0.35,0.43,3.5,1,0,16.16,12.57,15.68,0.13,-13.02,-36.06,-43.27,-91.28,0.45,4.59,4.46,4.21,option_135.png
45,45,2,0.35,0.43,3.5,1,0,16.92,12.98,19.95,0.18,-8.93,-33.98,-27.82,-87.92,0.5,4.49,4.43,4.11,option_136.png
25,25,0,0.45,0.53,3.5,1,0,16.34,16.61,28.27,1.52,-12.06,-15.51,2.28,2.01,3.85,10.68,10.31,11.86,option_137.png
35,25,0,0.45,0.53,3.5,1,0,17.61,19.18,39.46,2.12,-5.22,-2.44,42.76,42.28,6.31,12.11,11.54,13.55,option_138.png
45,25,0,0.45,0.53,3.5,1,0,18.89,22.68,48.29,2.73,1.67,15.36,74.71,83.22,9.49,14.46,13.8,16.02,option_139.png
25,35,0,0.45,0.53,3.5,1,0,16.48,16.83,29.6,1.57,-11.30,-14.39,7.09,5.37,4.13,10.58,10.25,12.1,option_140.png
35,35,0,0.45,0.53,3.5,1,0,17.71,19.85,40.37,2.17,-4.68,0.97,46.06,45.64,6.82,11.92,11.44,13.97,option_141.png
45,35,0,0.45,0.53,3.5,1,0,19.03,22.91,49.2,2.78,2.42,16.53,78.00,86.58,10.08,14.65,13.77,16.56,option_142.png
25,45,0,0.45,0.53,3.5,1,0,16.63,16.86,30.58,1.63,-10.50,-14.24,10.64,9.40,4.5,10.65,10.38,12.36,option_143.png
35,45,0,0.45,0.53,3.5,1,0,17.86,20.21,41.36,2.22,-3.88,2.80,49.64,48.99,7.26,11.91,11.48,14.17,option_144.png
45,45,0,0.45,0.53,3.5,1,0,19.17,23.19,49.92,2.84,3.18,17.96,80.61,90.60,10.75,14.75,13.89,17.04,option_145.png
25,25,1,0.45,0.53,3.5,1,0,15.73,15.36,20.57,0.77,-15.34,-21.87,-25.58,-48.32,2.63,8.92,9.08,9.26,option_146.png
35,25,1,0.45,0.53,3.5,1,0,16.66,16.68,31.59,0.95,-10.33,-15.16,14.29,-36.24,3.85,9.13,9.32,9.6,option_147.png
45,25,1,0.45,0.53,3.5,1,0,17.61,18.56,40.63,1.13,-5.22,-5.60,47.00,-24.16,5.16,9.16,9.5,9.86,option_148.png
25,35,1,0.45,0.53,3.5,1,0,15.87,15.67,22.2,0.82,-14.59,-20.30,-19.68,-44.97,2.9,8.98,9,9.65,option_149.png
35,35,1,0.45,0.53,3.5,1,0,16.8,16.76,32.89,0.99,-9.58,-14.75,18.99,-33.56,4.08,9.19,9.27,9.86,option_150.png
45,35,1,0.45,0.53,3.5,1,0,17.75,18.73,41.68,1.18,-4.47,-4.73,50.80,-20.81,5.53,9.17,9.44,10.14,option_151.png
25,45,1,0.45,0.53,3.5,1,0,16,15.76,23.53,0.87,-13.89,-19.84,-14.87,-41.61,3.2,8.96,8.95,9.9,option_152.png
35,45,1,0.45,0.53,3.5,1,0,16.93,17.02,34.09,1.04,-8.88,-13.43,23.34,-30.20,4.41,9.06,9.09,10.17,option_153.png
45,45,1,0.45,0.53,3.5,1,0,17.89,18.76,42.74,1.23,-3.71,-4.58,54.63,-17.45,6.1,9.29,9.47,10.5,option_154.png
